symbol,date,headline,sentiment,confidence,score
ASIANPAINT,2026-01-16 21:56:19.353,"In continuation to our previous intimations, find enclosed intimation pertaining",neutral,0.9310740828514099,0.0
ASIANPAINT,2026-01-27 13:58:38.247,Find enclosed the audited standalone and unaudited consolidated financial result,neutral,0.9157321453094482,0.0
ASIANPAINT,2026-01-27 14:08:17.227,Financial result for the quarter and nine-month period ended 31st December 2025,neutral,0.8519660830497742,0.0
ASIANPAINT,2026-01-27 14:12:26.700,Find enclosed the press release on the business and financial performance of the,neutral,0.930186927318573,0.0
ASIANPAINT,2026-01-27 17:29:22.140,please find investor presentation,neutral,0.9327715039253235,0.0
ASIANPAINT,2026-01-27 20:53:15.643,Enclosed herewith is the audio recording of the investor conference held today i,neutral,0.9436774253845215,0.0
ASIANPAINT,2026-02-02 13:15:50.173,"Please find enclosed the transcript of the investor conference held on Tuesday, ",neutral,0.944533109664917,0.0
ASIANPAINT,2026-02-04 20:06:17.733,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of SEBI (S,neutral,0.9317259192466736,0.0
ASIANPAINT,2026-02-06 11:46:05.083,The Company through its representatives will be participating in the meetings as,neutral,0.9455757141113281,0.0
ASIANPAINT,2026-02-06 17:40:53.930,"Pursuant to Regulation 30 of the Listing Regulations, we hereby enclose the copi",neutral,0.9530428647994995,0.0
ASIANPAINT,2026-02-18 15:04:14.570,The Company will be participating in the meeting and conferences as per enclosed,neutral,0.9315511584281921,0.0
ASIANPAINT,2026-02-26 11:02:03.873,The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substan,neutral,0.9202245473861694,0.0
ASIANPAINT,2026-02-26 11:04:37.100,The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substan,neutral,0.9202245473861694,0.0
ASIANPAINT,2026-03-06 10:30:08.020,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of SEBI (S,neutral,0.926586925983429,0.0
ASIANPAINT,2026-03-10 23:18:47.757,"We wish to inform you that the Hon''ble National Company Law Tribunal, Mumbai vi",neutral,0.9192750453948975,0.0
ASIANPAINT,2026-03-11 17:34:21.610,"This is to inform that SEBI vide its Circular dated 30th January 2026, has decid",neutral,0.9493930339813232,0.0
